FOTOMETRÍA RELATIVA

V2 
FECHA J HELIO         MAG      +/-    RSR  AIRMS  TRANS  FWHM"   FONDO   N   NUM
-----------------------------------------  -----  -----  -----  ------  --  ----
2455791.37489     0.00985  0.05063     21  1.322   0.91   1.93    0.07  01  0001
2455791.37722    -0.02629  0.04993     21  1.310   0.91   2.52    0.04  01  0002
2455791.37956     0.01242  0.05011     21  1.298   0.93   2.09    0.05  01  0003
2455791.38189     0.02110  0.04968     21  1.287   0.96   2.11    0.07  01  0004
2455791.38423     0.04026  0.05034     21  1.276   0.95   2.05    0.02  01  0005
2455791.38656     0.09983  0.05213     20  1.265   0.93   1.96   -0.02  01  0006
2455791.38890     0.04635  0.05139     21  1.255   0.91   2.33   -0.06  01  0007
2455791.39124     0.07183  0.05105     21  1.245   0.95   1.90   -0.03  01  0008
2455791.39357     0.15051  0.05261     20  1.235   0.96   1.85   -0.03  01  0009
2455791.39591     0.10173  0.05127     21  1.226   0.96   1.85   -0.03  01  0010
2455791.39823     0.19270  0.05331     20  1.217   0.97   2.03   -0.03  01  0011
2455791.40057     0.21810  0.05400     20  1.209   0.97   2.08   -0.05  01  0012
2455791.40291     0.24265  0.05446     19  1.200   0.97   1.76   -0.05  01  0013
2455791.40523     0.22709  0.05397     20  1.193   0.97   1.78   -0.04  01  0014
2455791.40757     0.16859  0.05239     20  1.185   0.98   2.10   -0.04  01  0015
2455791.40990     0.24112  0.05389     20  1.177   0.99   1.79   -0.04  01  0016
2455791.41222     0.23407  0.05352     20  1.170   1.00   2.04   -0.02  01  0017
2455791.41456     0.21208  0.05282     20  1.164   1.00   1.72    0.00  01  0018
2455791.41689     0.19236  0.05206     20  1.157   1.02   1.83    0.02  01  0019
2455791.41924     0.22667  0.05277     20  1.151   1.02   2.01    0.03  01  0020
2455791.42156     0.23282  0.05295     20  1.145   1.02   1.76    0.03  01  0021
2455791.42390     0.15027  0.05094     21  1.139   1.02   2.08    0.03  01  0022
2455791.42624     0.10889  0.04995     21  1.133   1.02   1.71    0.04  01  0023
2455791.42858     0.10402  0.04984     21  1.128   1.03   2.09    0.05  01  0024
2455791.43092     0.04239  0.04835     22  1.123   1.03   1.84    0.06  01  0025
2455791.43325    -0.01490  0.04697     23  1.118   1.04   1.85    0.06  01  0026
2455791.43559     0.02734  0.04801     22  1.113   1.03   2.02    0.06  01  0027
2455791.43792    -0.00213  0.04723     22  1.108   1.04   1.70    0.07  01  0028
2455791.44025    -0.03474  0.04641     23  1.104   1.04   1.77    0.09  01  0029
2455791.44258    -0.06860  0.04582     23  1.100   1.04   1.84    0.07  01  0030
2455791.44492    -0.04074  0.04639     23  1.096   1.04   2.13    0.07  01  0031
2455791.44726    -0.03178  0.04655     23  1.093   1.04   1.94    0.08  01  0032
