FOTOMETRÍA RELATIVA

VAR-2 
FECHA J HELIO         MAG      +/-    RSR  AIRMS  TRANS  FWHM"   FONDO   N   NUM
-----------------------------------------  -----  -----  -----  ------  --  ----
2455794.31998    -0.03716  0.02633     41  1.616   0.98   3.83   -0.60  01  0001
2455794.32155    -0.05613  0.02608     41  1.602   0.98   3.76   -1.33  01  0002
2455794.32315    -0.00939  0.02653     40  1.587   0.99   3.83   -1.09  01  0003
2455794.32474     0.04064  0.02717     39  1.572   0.99   4.08   -0.90  01  0004
2455794.32634    -0.02242  0.02625     41  1.558   1.00   3.90   -0.72  01  0005
2455794.32794     0.04647  0.02702     40  1.544   1.00   3.90   -0.59  01  0006
2455794.32954     0.02846  0.02676     40  1.531   1.00   3.89   -0.48  01  0007
2455794.33113    -0.00702  0.02633     41  1.518   1.00   4.03   -0.40  01  0008
2455794.33273     0.03763  0.02678     40  1.505   1.01   3.88   -0.32  01  0009
2455794.33433     0.05639  0.02700     40  1.493   1.01   3.87   -0.28  01  0010
2455794.33592     0.08542  0.02732     39  1.481   1.01   3.99   -0.23  01  0011
2455794.33753     0.10510  0.02757     39  1.469   1.02   3.89   -0.20  01  0012
2455794.33914     0.14960  0.02810     38  1.457   1.02   3.95   -0.17  01  0013
2455794.34074     0.13238  0.02781     39  1.446   1.02   3.77   -0.14  01  0014
2455794.34234     0.15672  0.02810     38  1.435   1.02   3.89   -0.11  01  0015
2455794.34393     0.16630  0.02821     38  1.424   1.02   3.88   -0.10  01  0016
2455794.34554     0.18436  0.02853     38  1.414   1.02   4.00   -0.09  01  0017
2455794.34716     0.19106  0.02848     38  1.403   1.03   3.95   -0.07  01  0018
2455794.34876     0.21307  0.02876     37  1.393   1.03   3.98   -0.06  01  0019
2455794.35037     0.21604  0.02866     37  1.383   1.04   3.83   -0.05  01  0020
2455794.35197     0.22531  0.02874     37  1.374   1.04   3.82   -0.04  01  0021
2455794.35356     0.22287  0.02872     37  1.364   1.04   3.83   -0.04  01  0022
2455794.35517     0.22528  0.02876     37  1.355   1.04   3.77   -0.03  01  0023
2455794.35677     0.22644  0.02866     37  1.346   1.05   3.75    0.00  01  0024
2455794.35837     0.22550  0.02865     37  1.338   1.05   3.82    0.01  01  0025
2455794.35996     0.14618  0.02764     39  1.329   1.05   3.82    0.03  01  0026
2455794.36156     0.17266  0.02791     38  1.321   1.05   3.85    0.05  01  0027
2455794.36316     0.16805  0.02778     39  1.313   1.06   3.79    0.06  01  0028
2455794.36476     0.15798  0.02768     39  1.305   1.06   3.83    0.06  01  0029
